a;b;c;d
1399.093333;-481.7766667;-2.831666667;0.9783333333
-29004.08159;-1375.037229;58.48074923;2.772076063
3810.063353;165.3709495;-7.735108173;-0.3359735577
150.5374726;341.019656;-0.3027026065;-0.6940001424
383.5905601;-110.2736749;-0.7726092896;0.2235382514
0;2.166917185;0.2338242331;0.0045732639
-8567.433946;-180.4891133;17.03787437;0.3586536186
0;86.32228571;0.013824;-0.1705165714
-21522.35607;-508.600197;4.31E+01;1.019165386
0;3.105007837;7.86E-03;-0.0062005889
0;6.834590099;0.0616351223;-0.0113603377
0;5.006793651;0.0066145447;-0.0101382453
-37454.46083;-2657.269272;75.02868932;5.322669903
0;48.49795181;0.0100396427;-0.0966066847
-15400.97647;-404.7600438;3.04E+01;0.7982669801
8182.403333;364.3233333;-16.27666667;-0.725
9615.14137;1380.693458;-18.95137785;-2.72339513
-2133.095926;-96.03407407;4.25537037;0.1912962963
0;5.800794094;8.70E-03;-0.0115712208
0;17.16779874;7.50E-03;-0.0342104527
0;-21.89064327;0.0390026623;0.0332564225
0;-67.00579545;0.0136034683;0.131940042
15500.04421;1962.614912;-30.66315789;-3.883684211
162.87597;330.4106595;-0.3116562999;-0.650578492
-54904.20237;-1339.837009;1.08E+02;2.64256312
-76518.625;-2839.635;1.50E+02;5.567
-4421.010789;-82.58475864;8.64E+00;0.1612491846
122215.4;4696.95;-240.28;-9.235
4439.698333;301.9217708;-8.679880952;-0.5909300595
0;-78.33570175;0.0125272252;0.1538825862
0;11.44469759;-0.1108522185;-0.0317273286
0;-32.10145455;1.17E-02;0.0632356554
0;23.9296324;0.0044239826;-0.0472190865
-21935.0475;-459.202974;4.30E+01;0.9003337557
0;11.6328125;7.21E-03;-0.0228684167
0;14.65811698;0;-0.0289471698
-9420.933845;-238.418804;1.85E+01;0.4674229751
-38214.09934;-824.2023026;74.85539474;1.614276316
5885.582109;1172.996671;-11.4804695;-2.29116074
-811.1826923;-46.43038462;1.563461538;0.0869230769
